"","x","y","signal","voltage","nAppearance"
"777",128,146,7649,0,1
"778",165,148,7819,0,1
"779",84,159,7514,0,1
"780",60,175,3818,0,1
"781",94,186,3137,0,1
"782",95,186,3139,0,1
"783",78,196,798,0,1
"784",127,202,8368,0,1
"785",96,68,5993,0,1
"786",121,72,7118,0,1
"787",123,78,6418,0,1
"788",120,79,4444,0,1
"789",139,86,3611,0,1
"790",155,90,4790,0,1
"791",104,96,7542,0,1
"792",62,97,3806,0,1
"793",83,97,8305,0,1
"794",104,97,7538,0,1
"795",82,98,8304,0,1
"796",83,98,8308,0,1
"797",145,112,558,0,1
"798",56,128,8272,0,1
"799",140,173,3729,0,1
"800",110,176,2042,0,2
"801",110,177,2035,0,1
"802",115,202,2663,0,1
"803",134,70,9275,0,1
"804",102,79,5205,0,1
"805",165,90,8840,0,2
"806",159,95,5805,0,1
"807",95,98,2583,0,1
"808",96,98,2586,0,1
"809",140,104,8165,0,1
"810",77,108,9429,0,1
"811",137,108,857,0,1
"812",136,109,853,0,1
"813",137,109,860,0,1
"814",60,112,5141,0,1
"815",154,122,5041,0,1
"816",155,122,5039,0,1
"817",154,123,5041,0,1
"818",155,123,5036,0,1
"819",150,124,5446,0,1
"820",150,125,5443,0,1
"821",128,132,2285,0,1
"822",129,132,2284,0,1
"823",149,133,2222,0,1
"824",121,137,8052,0,1
"825",122,137,8051,0,1
"826",121,138,8051,0,1
"827",122,138,8045,0,1
"828",176,154,396,0,1
"829",185,155,182,0,1
"830",171,159,7179,0,1
"831",179,164,5122,0,2
"832",180,164,5121,0,1
"833",87,170,2567,0,1
"834",90,173,6443,0,1
"835",159,181,2431,0,1
"836",122,203,2053,0,1
"837",122,204,2049,0,1
"838",101,93,2413,0,1
"839",102,93,2410,0,1
"840",125,96,8230,0,1
"841",125,97,8224,0,1
"842",160,99,7715,0,1
"843",117,104,6895,0,1
"844",127,111,6568,0,1
"845",180,115,1074,0,1
"846",120,124,5747,0,1
"847",121,124,5745,0,2
"848",137,141,1090,0,1
"849",138,141,1083,0,1
"850",59,144,8484,0,1
"851",49,150,2838,0,2
"852",114,150,3216,0,1
"853",130,174,3896,0,1
"854",131,174,3895,0,1
"855",90,193,66,0,1
"856",76,196,7052,0,1
"857",77,196,7053,0,1
"858",112,68,1538,0,1
"859",113,68,1539,0,2
"860",144,81,175,0,2
"861",125,94,8437,0,1
"862",126,94,8431,0,3
"863",104,95,9152,0,1
"864",105,95,9154,0,1
"865",125,95,8434,0,1
"866",68,100,677,0,1
"867",111,108,782,0,1
"868",89,109,8198,0,1
"869",90,109,8187,0,1
"870",151,109,2740,0,2
"871",139,115,5555,0,1
"872",139,116,5559,0,1
"873",95,121,4956,0,1
"874",100,122,4953,0,1
"875",72,125,4853,0,1
"876",73,125,4854,0,1
"877",178,134,9101,0,1
"878",178,135,9105,0,1
"879",179,135,9097,0,1
"880",106,147,9677,0,1
"881",105,148,9682,0,1
"882",106,148,9682,0,1
"883",101,165,2586,0,1
"884",174,171,5125,0,1
"885",174,172,5120,0,1
"886",172,174,5428,0,1
"887",172,175,5432,0,1
"888",89,207,4220,0,1
"889",97,74,7256,0,1
"890",97,75,7257,0,1
"891",146,84,4526,0,2
"892",147,84,4530,0,1
"893",86,85,8983,0,1
"894",87,85,8974,0,2
"895",86,86,8981,0,2
"896",99,91,4866,0,1
"897",100,91,4865,0,1
"898",99,92,4868,0,1
"899",100,92,4869,0,1
"900",142,95,9520,0,1
"901",140,96,9515,0,1
"902",142,96,9521,0,1
"903",150,98,2392,0,1
"904",151,98,2389,0,1
"905",162,98,4212,0,1
"906",170,100,8606,0,1
"907",65,101,148,0,2
"908",58,109,665,0,2
"909",106,110,73,0,2
"910",67,112,1005,0,1
"911",51,113,389,0,2
"912",67,113,1006,0,1
"913",51,114,385,0,1
"914",163,119,2529,0,1
"915",164,119,2530,0,1
"916",130,141,6727,0,2
"917",60,142,7866,0,1
"918",60,143,7864,0,1
"919",93,145,8524,0,2
"920",94,145,8521,0,1
"921",109,145,8483,0,1
"922",181,161,9635,0,1
"923",137,167,1902,0,2
"924",137,168,1898,0,2
"925",122,173,2778,0,1
"926",142,180,7852,0,1
"927",141,181,7858,0,1
"928",142,181,7862,0,1
"929",85,87,7164,0,1
"930",86,87,7169,0,2
"931",165,90,2279,0,1
"932",126,91,2809,0,1
"933",127,91,2813,0,1
"934",165,91,2277,0,1
"935",168,95,6660,0,1
"936",129,96,5238,0,1
"937",130,96,5238,0,1
"938",168,96,6660,0,2
"939",129,97,5240,0,1
"940",130,97,5241,0,1
"941",71,100,4040,0,2
"942",71,101,4041,0,2
"943",112,103,4004,0,1
"944",113,103,4008,0,1
"945",169,110,6065,0,1
"946",169,111,6072,0,1
"947",163,124,5577,0,1
"948",187,125,4731,0,1
"949",187,126,4736,0,1
"950",76,137,2100,0,1
"951",135,137,5610,0,1
"952",136,137,5602,0,1
"953",83,138,6706,0,1
"954",83,139,6703,0,1
"955",143,153,1085,0,1
"956",128,173,2980,0,1
"957",129,173,2980,0,1
"958",100,80,8206,0,1
"959",100,81,8210,0,1
"960",82,85,9690,0,1
"961",132,85,6752,0,2
"962",82,86,9690,0,1
"963",132,86,6767,0,1
"964",133,86,6761,0,1
"965",132,90,5480,0,1
"966",133,90,5488,0,1
"967",133,91,5486,0,1
"968",127,93,3900,0,2
"969",126,94,3896,0,2
"970",127,94,3904,0,1
"971",63,116,2273,0,1
"972",139,117,2477,0,1
"973",148,137,4228,0,1
"974",148,138,4221,0,1
"975",132,148,6557,0,1
"976",176,156,5076,0,1
"977",144,174,2130,0,1
"978",99,179,1466,0,1
"979",159,185,1913,0,1
"980",110,72,5463,0,1
"981",111,72,5469,0,1
"982",110,73,5471,0,1
"983",111,73,5474,0,1
"984",111,74,5467,0,1
"985",84,77,8646,0,1
"986",85,77,8642,0,1
"987",108,80,7297,0,1
"988",109,80,7294,0,1
"989",108,81,7293,0,1
"990",109,81,7295,0,1
"991",66,89,3316,0,1
"992",126,89,793,0,1
"993",115,97,2470,0,1
"994",144,106,6411,0,2
"995",157,111,7631,0,1
"996",175,122,7385,0,3
"997",166,123,7949,0,1
"998",167,123,7946,0,1
"999",175,123,7386,0,1
"1000",166,124,7950,0,2
"1001",167,124,7951,0,1
