"","signal","voltage","threshold","delay","nPixel","sensor","LED","lambda","comment","depth","Id"
"197",88.8461643368565,3.5,360,100,3638.42721002717,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"198",70.8920415120524,3,360,100,3314.9722908539,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"199",120.439754874367,4.5,360,100,3957.08373636683,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"200",104.029865720019,4,360,100,3935.86174790141,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"201",142.149589000518,5.5,360,100,4057.00221035337,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"202",133.183756615771,5,360,100,3966.72914123957,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"203",154.569762102729,6.5,360,100,4162.68206163243,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"204",150.17778887495,6,360,100,4114.98619018948,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"205",160.965870094216,7.5,360,100,4229.69884679068,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"206",157.821504013519,7,360,100,4160.88949336786,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"207",169.149284962216,8.5,360,100,4250.18056064412,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"208",167.615730851388,8,360,100,4187.07189403641,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"209",173.715009096808,9.5,360,100,4278.12156881694,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"210",171.180463807072,9,360,100,4300.45530914606,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
"211",96.7760766888657,10,360,100,4653.91999816895,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"212",48.940138665346,3.5,360,100,5973.11848052978,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"213",39.1252042610404,3,360,100,1985.44993613907,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"214",59.1663395838685,4.5,360,100,4919.8572548865,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"215",56.6135699027314,4,360,100,4731.73174067927,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"216",65.418976145261,5.5,360,100,4953.11802431439,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"217",65.5166504735162,5,360,100,5369.62793944936,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"218",74.3847540914459,6.5,360,100,4910.69208837116,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"219",71.3938365462938,6,360,100,4685.72229326646,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"220",79.0059839110843,7.5,360,100,4803.37066788157,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"221",77.2699645378876,7,360,100,4850.52308916219,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"222",87.594372099985,8.5,360,100,5111.39293198221,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"223",84.9172385133407,8,360,100,4611.98962858759,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"224",93.8566951149393,9.5,360,100,4922.13124080516,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"225",91.2611700867768,9,360,100,4677.67172075508,"H4W261","Green",525,"",300,"H4W261  :    :  300  (nm)"
"226",84.2803554258043,10,385,100,4318.2456817627,"C7W260","Green",525,"",200,"C7W260  :    :  200  (nm)"
